Título,Título_URL,Imagen,Título1,jsx2858414180,copy10,Descuento,copy3,primary,jsx3425244783,jsx34252447832,Vista
DXN,https://www.falabella.com.co/falabella-co/product/124506681/Zhi-mocha-ganoderma-+-cafe-y-cacao-dxn-20-sobres_./124506682,,Zhi mocha ganoderma + cafe y cacao 20 sobres_.,Por Tienda Naturista Miel Angelita ,$  97.200  ,,,$  97.200  ,,,
FLAWLESS,https://www.falabella.com.co/falabella-co/product/135897390/Depilador-Facial-Corporal-Cortador-Eliminador-De-Vello-Gold/135897391,,Depilador Facial Corporal Cortador Eliminador De Vello Gold,Por Derocha Store ,$  19.900  ,,,$  19.900  ,Llega mañana,,
FLAWLESS,https://www.falabella.com.co/falabella-co/product/135897237/Flawless-Brows-Depilador-De-Cejas-Sin-Dolor/135897238,,Brows Depilador De Cejas Sin Dolor,Por Derocha Store ,$  19.900  ,,,$  19.900  ,Llega mañana,,
GENERAL,https://www.falabella.com.co/falabella-co/product/140938096/Gorro-Para-Migrana-TerapiaRelajacion-Frio-Calor-Negro/140938097,,Gorro Para Migraña TerapiaRelajacion Frio Calor Negro,Por Etechy,$  27.800  ,-44%,$  50.000  ,$  27.800  ,Llega mañana,,
TRENDY,https://www.falabella.com.co/falabella-co/product/131817345/Paleta-de-Sombras-Nude-Atenea-Profesional/131817346,,Paleta de Sombras Nude Atenea Profesional,Por Kroma Space ,$  56.900  ,,$  66.000  ,$  56.900  ,,,
JEAN PAUL GAULTIER,https://www.falabella.com.co/falabella-co/product/30299675/Perfume-Mujer-Jean-Paul-Gaultier-Scandal-80-ml-EDP/30299675,,Perfume Mujer Scandal 80 ml EDP,Por Falabella,$  530.000  ,,,$  530.000  ,Llega mañana,Retira mañana,(400)
CLINIQUE,https://www.falabella.com.co/falabella-co/product/2428534/Crema-hidratante-Clinique-aloe-shave-gel-125-ml/2428534,,Crema hidratante aloe shave gel 125 ml,Por Falabella,$  119.900  ,,,$  119.900  ,Retira mañana,,(1)
LANCOME,https://www.falabella.com.co/falabella-co/product/3845298/Perfume-Lancome-La-Vie-Est-Belle-En-Rose-Mujer-100-ml-EDT/3845298,,Perfume La Vie Est Belle En Rose Mujer 100 ml EDT,Por Falabella,$  799.900  ,,,$  799.900  ,Llega mañana,Retira mañana,(25)
NABICO,https://www.falabella.com.co/falabella-co/product/128901786/AEROSOL-NABICO-RELAJANTE-HIDRATANTE-REFRESCANTE-ALIVIA-EL-DOLOR/128901787,,AEROSOL RELAJANTE HIDRATANTE REFRESCANTE ALIVIA EL DOLOR,Por Ark-store,$  39.900  ,,,$  39.900  ,,,
OLAPLEX,https://www.falabella.com.co/falabella-co/product/124769063/Olaplex-N%C2%B05-Acondicionador/124769065,,N°5 Acondicionador,Por Cornalina Beauty ,$  124.990  ,,,$  124.990  ,,,(1)
GENERICO,https://www.falabella.com.co/falabella-co/product/129576138/Esmalte-Essence-Nail-Colour-Tono-06-8ml/129576139,,Esmalte Essence Nail Colour Tono 06 8ml,Por Prebel,$  8.700  ,,,$  8.700  ,,,
LOCCITANE,https://www.falabella.com.co/falabella-co/product/136507988/Shampoo-Verbena-Citrica-250ml/136507989,,Shampoo Verbena Cítrica 250ml,Por Provenzal Sas ,$  109.000  ,,,$  109.000  ,,,
KATIVA,https://www.falabella.com.co/falabella-co/product/129930636/Sellante-Reconstructor-y-Protector-Total-Plex-100ml/129930637?sponsoredClickData=%257B%2522isXLP%2522%253Atrue%252C%2522pageType%2522%253A%2522category%2522%252C%2522adType%2522%253A%2522products%2522%252C%2522platform%2522%253A%2522desktop%2522%252C%2522regionCode%2522%253A%2522co%2522%252C%2522context%2522%253A%257B%2522userIdentifier%2522%253A%2522MTc0NzU5NzAxOTMxNw%253D%253D%2522%252C%2522adIdentifier%2522%253A%2522v2_5JzUleDio576U-oVDWEl5wRnMZp_Oi859RhgDwKMhVA_zQHH8xxra1tRhtFtpDBz0kwSGIFuwZotnTbGEz-gZUr3oJ-IC8qtV_ZULCMMtI714WShaQ7a64yj9xgjbKo42Y4idJK7jt0PS2WMQjpeDm9hmFYfg_jMrZleo-ud6wjdNoiKR5El177PhE_wEjTmqKX_Z2D6ntp4vo0B3xYOmw%253D%253D_ark196e4f3e8c779733d3%2522%252C%2522slot%2522%253Anull%252C%2522signal%2522%253A%2522Belleza--higiene-y-salud%2522%257D%257D,,Sellante Reconstructor y Protector Total Plex 100ml,Por Starbrands Colombia S.a.s ,$  49.700  ,,,$  49.700  ,,,
