Título,Título_URL,Imagen,Nombre_Producto,Vendedor,Precio_Actual,Descuento,Precio_Anterior,Precio_Ref,Entrega,Retiro,Vista
GENERICO,https://www.falabella.com.co/falabella-co/product/138456741/Mascara-Antifaz-Cubre-Ojos-para-Dormir-Descansar-en-Satin/138456742,SIN IMAGEN,Máscara Antifaz Cubre Ojos para Dormir Descansar en Satín,Por Mlv Store ,14.9,0%,,14.9,Llega mañana,SIN INFORMACIÓN,SIN OPINIONES
TOCOBO,https://www.falabella.com.co/falabella-co/product/140362353/Juicy-Berry-Plumping-Lip-Oil-07-PLUM-JAM/140362354,SIN IMAGEN,Juicy Berry Plumping Lip Oil 07 PLUM JAM,Por Kalon Skin Bar ,62.9,10%,69.9,62.9,SIN INFORMACIÓN,SIN INFORMACIÓN,SIN OPINIONES
TOCOBO,https://www.falabella.com.co/falabella-co/product/140363513/Juicy-Berry-Plumping-Lip-Oil-Glam-Max-00-FROZEN-BERRY/140363514,SIN IMAGEN,Juicy Berry Plumping Lip Oil Glam Max 00 FROZEN BERRY,Por Kalon Skin Bar ,62.9,10%,69.9,62.9,SIN INFORMACIÓN,SIN INFORMACIÓN,SIN OPINIONES
EPIDERMIQUE,https://www.falabella.com.co/falabella-co/product/128107865/eclarifie-Suero-Iluminador-de-Vitamina-C-Natural/128107866,SIN IMAGEN,Éclarifie Suero Iluminador de Vitamina C Natural,Por Epidermique,144.8,-20%,181.0,144.8,SIN INFORMACIÓN,SIN INFORMACIÓN,SIN OPINIONES
TOCOBO,https://www.falabella.com.co/falabella-co/product/140362355/Juicy-Berry-Plumping-Lip-Oil-05-ROSY-GIRL/140362356,SIN IMAGEN,Juicy Berry Plumping Lip Oil 05 ROSY GIRL,Por Kalon Skin Bar ,62.9,10%,69.9,62.9,SIN INFORMACIÓN,SIN INFORMACIÓN,SIN OPINIONES
TOCOBO,https://www.falabella.com.co/falabella-co/product/140362393/Juicy-Berry-Plumping-Lip-Oil-01-CHILL-RED/140362394,SIN IMAGEN,Juicy Berry Plumping Lip Oil 01 CHILL RED,Por Kalon Skin Bar ,62.9,10%,69.9,62.9,SIN INFORMACIÓN,SIN INFORMACIÓN,SIN OPINIONES
GENERICO,https://www.falabella.com.co/falabella-co/product/119630385/Crema-Cilka-Cejas-Pestanas-Mas-Pobladas-x-1-Und/119630387,SIN IMAGEN,Crema Cilka Cejas & Pestañas Mas Pobladas x 1 Und,Por Galenica,33.751,0%,,33.751,SIN INFORMACIÓN,SIN INFORMACIÓN,1
PALETTE,https://www.falabella.com.co/falabella-co/product/119630566/Tinte-Capilar-Palette-Intensive-Color-Creme-Negro-1-0/119630569,SIN IMAGEN,Tinte Capilar Intensive Color Creme Negro 1-0,Por Galenica,31.209,0%,,31.209,SIN INFORMACIÓN,SIN INFORMACIÓN,SIN OPINIONES
PALETTE,https://www.falabella.com.co/falabella-co/product/119630562/Tinte-Capilar-Palette-Intensive-Color-Creme-Rubio-Claro-8-0/119630564,SIN IMAGEN,Tinte Capilar Intensive Color Creme Rubio Claro 8-0,Por Galenica,12.172,0%,,12.172,SIN INFORMACIÓN,SIN INFORMACIÓN,SIN OPINIONES
PALETTE,https://www.falabella.com.co/falabella-co/product/119630567/Tinte-Palette-Intensive-Color-Creme-Rubio-Oscuro-6-0/119630570,SIN IMAGEN,Tinte Intensive Color Creme Rubio Oscuro 6-0,Por Galenica,30.585,0%,,30.585,SIN INFORMACIÓN,SIN INFORMACIÓN,SIN OPINIONES
BLANKISIMA,https://www.falabella.com.co/falabella-co/product/119630376/Crema-Facial-Blankisima-Anti-Manchas-X-32-Gr/119630378,SIN IMAGEN,Crema Facial Anti-Manchas X 32 Gr,Por Galenica,20.506,0%,,20.506,SIN INFORMACIÓN,SIN INFORMACIÓN,2
AVENE,https://www.falabella.com.co/falabella-co/product/119630371/Avene-Agua-Termal-Calmante-Suavizante-X-300-Ml/119630373,SIN IMAGEN,Agua Termal Calmante & Suavizante X 300 Ml,Por Galenica,115.0,0%,,115.0,SIN INFORMACIÓN,SIN INFORMACIÓN,19
AFELIUS,https://www.falabella.com.co/falabella-co/product/119629815/Filtro-Solar-Foto-Estable-Afelius-Oil-Free-X-60-Gr/119629816,SIN IMAGEN,Filtro Solar Foto Estable Oíl Free X 60 Gr,Por Galenica,121.74,0%,,121.74,SIN INFORMACIÓN,SIN INFORMACIÓN,SIN OPINIONES
TIO NACHO,https://www.falabella.com.co/falabella-co/product/119629896/Shampoo-Tio-Nacho-Anti-Caida-x-415-Ml/119629897,SIN IMAGEN,Shampoo Anti-Caída x 415 Ml,Por Galenica,37.287,0%,,37.287,SIN INFORMACIÓN,SIN INFORMACIÓN,SIN OPINIONES
SANOFI,https://www.falabella.com.co/falabella-co/product/119629847/Gelicart-Advance-Colageno-Hidrolizado-30-Sobres-x-20-Gr/119629848,SIN IMAGEN,Gelicart Advance Colágeno Hidrolizado 30 Sobres x 20 Gr,Por Galenica,178.231,0%,,178.231,Envío gratis,SIN INFORMACIÓN,SIN OPINIONES
BIGEN,https://www.falabella.com.co/falabella-co/product/119629766/Colby-Shampoo-Sin-Sal-Aloe-Vera-Keratina-x-280/119629768,SIN IMAGEN,Colby Shampoo Sin Sal Aloe Vera Keratina x 280,Por Galenica,20.019,0%,,20.019,SIN INFORMACIÓN,SIN INFORMACIÓN,SIN OPINIONES
GENERICO,https://www.falabella.com.co/falabella-co/product/119630370/Biotina-Advanced-Botanitas-X-100-Capsulas/119630372,SIN IMAGEN,Biotina Advanced Botanitas X 100 Cápsulas,Por Galenica,39.905,0%,,39.905,SIN INFORMACIÓN,SIN INFORMACIÓN,1
JOHNSON AND JOHNSON,https://www.falabella.com.co/falabella-co/product/119630400/Spray-Para-Peinar-JOHNSON'S-Gotas-De-Brillo-x-200-Ml/119630403,SIN IMAGEN,Spray Para Peinar JOHNSON'S Gotas De Brillo x 200 Ml,Por Galenica,18.28,0%,,18.28,SIN INFORMACIÓN,SIN INFORMACIÓN,10
REVITALIFT,https://www.falabella.com.co/falabella-co/product/119629795/Crema-De-Peinar-L'Oreal-Elvive-Reparacion-Total-5-X-300-Ml/119629796,SIN IMAGEN,Crema De Peinar L'Oréal Elvive Reparación Total 5 X 300 Ml,Por Galenica,18.183,0%,,18.183,SIN INFORMACIÓN,SIN INFORMACIÓN,SIN OPINIONES
LOCCITANE,https://www.falabella.com.co/falabella-co/product/135537215/Emulsion-enriquecida-Immortelle-Preciosa-75ml/135537216?sponsoredClickData=%257B%2522isXLP%2522%253Atrue%252C%2522pageType%2522%253A%2522category%2522%252C%2522adType%2522%253A%2522products%2522%252C%2522platform%2522%253A%2522desktop%2522%252C%2522regionCode%2522%253A%2522co%2522%252C%2522context%2522%253A%257B%2522userIdentifier%2522%253A%2522MTc0NzU5NzAxOTMxNw%253D%253D%2522%252C%2522adIdentifier%2522%253A%2522v2__0RekNaYFANZ_X4TCD9H7mJqKY3VlAQw0EBr1ZBCAfw_zQHH8xxra1tRhtFtpDBz0kwSGIFuwZotnTbGEz-gZRF07WCWpy_ozMoipul7XggPG82y94dktGNIH7JufHLfBlH5U8p7hACR8PbqBda2tMzt1z0SnYOuLHg1ct1MRwAYH-q4rSO-Isng6mn1qRUsf_TVr6G7pzm4E4ATinAwrg%253D%253D_ark196e4edf6047a845ea%2522%252C%2522slot%2522%253Anull%252C%2522signal%2522%253A%2522Belleza--higiene-y-salud%2522%257D%257D,SIN IMAGEN,Emulsión enriquecida Immortelle Preciosa 75ml,Por Provenzal Sas ,348.0,0%,,348.0,Envío gratis,SIN INFORMACIÓN,SIN OPINIONES
LOCCITANE,https://www.falabella.com.co/falabella-co/product/136855371/Aceite-divino-Immortelle-Divina-30ml/136855372?sponsoredClickData=%257B%2522isXLP%2522%253Atrue%252C%2522pageType%2522%253A%2522category%2522%252C%2522adType%2522%253A%2522products%2522%252C%2522platform%2522%253A%2522desktop%2522%252C%2522regionCode%2522%253A%2522co%2522%252C%2522context%2522%253A%257B%2522userIdentifier%2522%253A%2522MTc0NzU5NzAxOTMxNw%253D%253D%2522%252C%2522adIdentifier%2522%253A%2522v2_om4RCatj891vb-IJI2a4mmJqKY3VlAQw0EBr1ZBCAfw_zQHH8xxra1tRhtFtpDBz0kwSGIFuwZotnTbGEz-gZRF07WCWpy_ozMoipul7XgiYZMNmMR_51M7PkvFT3yPNZVdn-xBSXx0ruNXk98FWdMzt1z0SnYOuLHg1ct1MRwAYH-q4rSO-Isng6mn1qRUsf_TVr6G7pzm4E4ATinAwrg%253D%253D_ark196e4edf6047a845ea%2522%252C%2522slot%2522%253Anull%252C%2522signal%2522%253A%2522Belleza--higiene-y-salud%2522%257D%257D,SIN IMAGEN,Aceite divino Immortelle Divina 30ml,Por Provenzal Sas ,565.0,0%,,565.0,Envío gratis,SIN INFORMACIÓN,SIN OPINIONES
MEDIHEALTH,https://www.falabella.com.co/falabella-co/product/119630504/Shampoo-Betapirox-Anticaspa-X-120-Ml/119630505,SIN IMAGEN,Shampoo Betapirox Anticaspa X 120 Ml,Por Galenica,90.134,0%,,90.134,SIN INFORMACIÓN,SIN INFORMACIÓN,1
SAVITAL,https://www.falabella.com.co/falabella-co/product/119629867/Shampoo-Savital-Multivitaminas-Sabila-20-Sobres-X-25-Ml/119629868,SIN IMAGEN,Shampoo Multivitaminas & Sábila 20 Sobres X 25 Ml,Por Galenica,20.491,0%,,20.491,SIN INFORMACIÓN,SIN INFORMACIÓN,SIN OPINIONES
NIVEA,https://www.falabella.com.co/falabella-co/product/119630423/Nivea-Crema-Cuidado-Aclarado-Natural-x-50-Ml/119630426,SIN IMAGEN,Crema Cuidado Aclarado Natural x 50 Ml,Por Galenica,20.789,0%,,20.789,SIN INFORMACIÓN,SIN INFORMACIÓN,SIN OPINIONES
GENERICO,https://www.falabella.com.co/falabella-co/product/119630390/Tratamiento-En-Crema-Para-Barros-Y-Espinillas-Pena-X-30-Gr/119630392,SIN IMAGEN,Tratamiento En Crema Para Barros Y Espinillas Peña X 30 Gr,Por Galenica,23.442,0%,,23.442,SIN INFORMACIÓN,SIN INFORMACIÓN,1
NOSOTRAS,https://www.falabella.com.co/falabella-co/product/119630352/Protectores-De-Lactancia-Nosotras-Respirable-x-40-Und/119630353,SIN IMAGEN,Protectores De Lactancia Respirable x 40 Und,Por Galenica,19.469,0%,,19.469,SIN INFORMACIÓN,SIN INFORMACIÓN,SIN OPINIONES
LUST,https://www.falabella.com.co/falabella-co/product/120435708/Bala-Vibradora-Colores-Multivelocidad-Prueba-De-Agua/120435709,SIN IMAGEN,Bala Vibradora Colores Multivelocidad Prueba De Agua,Por Lust,32.5,0%,,32.5,Llega mañana,SIN INFORMACIÓN,SIN OPINIONES
ORAL B,https://www.falabella.com.co/falabella-co/product/119630552/Hilo-Dental-Oral-B%C2%AE-Pro-Salud-Multi-Beneficios-2-x-25-Mts/119630555,SIN IMAGEN,Hilo Dental Oral-B® Pro-Salud Multi-Beneficios 2 x 25 Mts,Por Galenica,24.042,0%,,24.042,SIN INFORMACIÓN,SIN INFORMACIÓN,7
PONDS,https://www.falabella.com.co/falabella-co/product/119630463/Crema-Facial-Con-Proteccion-Solar-Ponds-Rejuveness-X-100-Gr/119630466,SIN IMAGEN,Crema Facial Con Proteccion Solar Rejuveness X 100 Gr,Por Galenica,32.389,0%,,32.389,SIN INFORMACIÓN,SIN INFORMACIÓN,SIN OPINIONES
NIVEA,https://www.falabella.com.co/falabella-co/product/119630422/Nivea-Crema-Q10-Power-Anti-Edad-Noche-X-50-Ml/119630424,SIN IMAGEN,Crema Q10 Power Anti-Edad Noche X 50 Ml,Por Galenica,60.191,0%,,60.191,SIN INFORMACIÓN,SIN INFORMACIÓN,1
PONDS,https://www.falabella.com.co/falabella-co/product/119630450/Crema-Limpiadora-Facial-Ponds-Con-Pepino-X-100-Gr/119630451,SIN IMAGEN,Crema Limpiadora Facial Con Pepino X 100 Gr,Por Galenica,22.56,0%,,22.56,SIN INFORMACIÓN,SIN INFORMACIÓN,4
PONDS,https://www.falabella.com.co/falabella-co/product/119630434/Crema-Facial-Pond%C2%B4s-Clarant-B3-Normal-Grasa-X-100-Gr/119630436,SIN IMAGEN,Crema Facial Pond´s Clarant B3 Normal-Grasa X 100 Gr,Por Galenica,24.718,0%,,24.718,SIN INFORMACIÓN,SIN INFORMACIÓN,9
PONDS,https://www.falabella.com.co/falabella-co/product/119630440/Crema-Facial-Pond%C2%B4s-Clarant-B3-Piel-Norma-Graso-Frasco-X-50-Gr/119630442,SIN IMAGEN,Crema Facial Pond´s Clarant B3 Piel Norma Graso Frasco X 50 Gr,Por Galenica,18.272,0%,,18.272,SIN INFORMACIÓN,SIN INFORMACIÓN,SIN OPINIONES
NUTRAZUL,https://www.falabella.com.co/falabella-co/product/119629808/Vitamina-C+Zinc+B2-Nutrazul-Tubo-X-20-Tabletas/119629811,SIN IMAGEN,Vitamina C+Zinc+B2 Tubo X 20 Tabletas,Por Galenica,24.143,0%,,24.143,SIN INFORMACIÓN,SIN INFORMACIÓN,SIN OPINIONES
ASEPXIA,https://www.falabella.com.co/falabella-co/product/119630348/Asepxia-Polvo-Compacto-Anti-Imperfecciones-8-En-1-Natural-X-10-Gr/119630349,SIN IMAGEN,Polvo Compacto Anti-Imperfecciones 8 En 1 Natural X 10 Gr,Por Galenica,39.951,0%,,39.951,SIN INFORMACIÓN,SIN INFORMACIÓN,SIN OPINIONES
LUST,https://www.falabella.com.co/falabella-co/product/120435516/Bala-Vibradora-Colores-Multivelocidad-Prueba-De-Agua/120435517,SIN IMAGEN,Bala Vibradora Colores Multivelocidad Prueba De Agua,Por Lust,36.5,0%,,36.5,Llega mañana,SIN INFORMACIÓN,SIN OPINIONES
VOGUE,https://www.falabella.com.co/falabella-co/product/119630483/Protector-Labial-Vogue-Kiss-My-Lips-x-2-Und/119630485,SIN IMAGEN,Protector Labial Kiss My Lips x 2 Und,Por Galenica,16.453,0%,,16.453,SIN INFORMACIÓN,SIN INFORMACIÓN,SIN OPINIONES
NIVEA,https://www.falabella.com.co/falabella-co/product/119630428/Nivea-Crema-Cuidado-Aclarado-Natural-X-100-Ml/119630429,SIN IMAGEN,Crema Cuidado Aclarado Natural X 100 Ml,Por Galenica,31.549,0%,,31.549,SIN INFORMACIÓN,SIN INFORMACIÓN,SIN OPINIONES
TEATRICAL,https://www.falabella.com.co/falabella-co/product/119630473/Crema-Facial-Anti-Arrugas-Teatrical-X-100-Ml/119630476,SIN IMAGEN,Crema Facial Anti-Arrugas X 100 Ml,Por Galenica,29.774,0%,,29.774,SIN INFORMACIÓN,SIN INFORMACIÓN,13
BIODERMA,https://www.falabella.com.co/falabella-co/product/122883257/Limpiador-Exfoliante-Pigmentbio-X-200ml/122883258,SIN IMAGEN,Limpiador Exfoliante Pigmentbio X 200ml,Por Locatel Colombia ,136.8,0%,,136.8,SIN INFORMACIÓN,SIN INFORMACIÓN,SIN OPINIONES
NATURA,https://www.falabella.com.co/falabella-co/product/119871084/Perfume-Kaiak-K-de-Natura-100-ml/119871087,SIN IMAGEN,Perfume Kaiak K de 100 ml,Por Districatálogos,119.9,-37%,191.0,119.9,SIN INFORMACIÓN,SIN INFORMACIÓN,2
CLINIQUE,https://www.falabella.com.co/falabella-co/product/69725527/Primer-Clinique-Even-Better-Pore-Defying/69725527,SIN IMAGEN,Primer Even Better Pore Defying,Por Falabella,199.9,0%,,199.9,Llega mañana,Retira mañana,5
DANKI,https://www.falabella.com.co/falabella-co/product/133109698/Tobillera-Compresion-Elastica-Ajustable-Banda-Pie-Ortopedica-Deportiva/133109700,SIN IMAGEN,Tobillera Compresion Elastica Ajustable Banda Pie Ortopedica Deportiva,Por Vipxie.,28.9,-29%,40.9,28.9,SIN INFORMACIÓN,SIN INFORMACIÓN,SIN OPINIONES
DANKI,https://www.falabella.com.co/falabella-co/product/133109473/Lampara-Mesa-Luz-Led-Blanca-Calida-Decorativa-Moderna-Acrilico-Cristal/133109474,SIN IMAGEN,Lampara Mesa Luz Led Blanca Calida Decorativa Moderna Acrilico Cristal,Por Vipxie.,44.9,-27%,61.9,44.9,SIN INFORMACIÓN,SIN INFORMACIÓN,SIN OPINIONES
GENERICO,https://www.falabella.com.co/falabella-co/product/140509174/Antifaz-Gel-Para-Aliviar-Dolor-De-Cabeza-Migrana/140509175,SIN IMAGEN,Antifaz Gel Para Aliviar Dolor De Cabeza Migraña,Por Leal Importaciones ,24.99,0%,,24.99,SIN INFORMACIÓN,SIN INFORMACIÓN,SIN OPINIONES
LOCCITANE,https://www.falabella.com.co/falabella-co/product/135451685/Eco-Refill-Concentrado-de-leche-de-Almendras-200ml_./135451686?sponsoredClickData=%257B%2522isXLP%2522%253Atrue%252C%2522pageType%2522%253A%2522category%2522%252C%2522adType%2522%253A%2522products%2522%252C%2522platform%2522%253A%2522desktop%2522%252C%2522regionCode%2522%253A%2522co%2522%252C%2522context%2522%253A%257B%2522userIdentifier%2522%253A%2522MTc0NzU5NzAxOTMxNw%253D%253D%2522%252C%2522adIdentifier%2522%253A%2522v2_DLZLRWuhx6xisrxEvBdYXWJqKY3VlAQw0EBr1ZBCAfw_zQHH8xxra1tRhtFtpDBz0kwSGIFuwZotnTbGEz-gZdqD5fb1f_2axBrU4ktUcExYA64Gpyy47Nc-o4fGvv8JbG1-jKguQNAVzAjy2yKfHszt1z0SnYOuLHg1ct1MRwAYH-q4rSO-Isng6mn1qRUsf_TVr6G7pzm4E4ATinAwrg%253D%253D_ark196e4edf6047a845ea%2522%252C%2522slot%2522%253Anull%252C%2522signal%2522%253A%2522Belleza--higiene-y-salud%2522%257D%257D,SIN IMAGEN,Eco Refill Concentrado de leche de Almendras 200ml_.,Por Provenzal Sas ,280.0,0%,,280.0,Envío gratis,SIN INFORMACIÓN,SIN OPINIONES
LOCCITANE,https://www.falabella.com.co/falabella-co/product/133746724/Balsamo-aterciopelado-corporal-Karite-Immortelle-200ml/133746725?sponsoredClickData=%257B%2522isXLP%2522%253Atrue%252C%2522pageType%2522%253A%2522category%2522%252C%2522adType%2522%253A%2522products%2522%252C%2522platform%2522%253A%2522desktop%2522%252C%2522regionCode%2522%253A%2522co%2522%252C%2522context%2522%253A%257B%2522userIdentifier%2522%253A%2522MTc0NzU5NzAxOTMxNw%253D%253D%2522%252C%2522adIdentifier%2522%253A%2522v2_lNVQbEWU1-Be6D4XT_EcsmJqKY3VlAQw0EBr1ZBCAfw_zQHH8xxra1tRhtFtpDBz0kwSGIFuwZotnTbGEz-gZeqeFAAyGO0ofFrO0Lr464aEI6yQLsXAWZubZmvQ_ec9iViPXu08WDdhtEaq5tbLRMzt1z0SnYOuLHg1ct1MRwAYH-q4rSO-Isng6mn1qRUsf_TVr6G7pzm4E4ATinAwrg%253D%253D_ark196e4edf6047a845ea%2522%252C%2522slot%2522%253Anull%252C%2522signal%2522%253A%2522Belleza--higiene-y-salud%2522%257D%257D,SIN IMAGEN,Bálsamo aterciopelado corporal Karité Immortelle 200ml,Por Provenzal Sas ,309.0,0%,,309.0,Envío gratis,SIN INFORMACIÓN,SIN OPINIONES
LOCCITANE,https://www.falabella.com.co/falabella-co/product/136855371/Aceite-divino-Immortelle-Divina-30ml/136855372?sponsoredClickData=%257B%2522isXLP%2522%253Atrue%252C%2522pageType%2522%253A%2522category%2522%252C%2522adType%2522%253A%2522products%2522%252C%2522platform%2522%253A%2522desktop%2522%252C%2522regionCode%2522%253A%2522co%2522%252C%2522context%2522%253A%257B%2522userIdentifier%2522%253A%2522MTc0NzU5NzAxOTMxNw%253D%253D%2522%252C%2522adIdentifier%2522%253A%2522v2_om4RCatj891vb-IJI2a4mmJqKY3VlAQw0EBr1ZBCAfw_zQHH8xxra1tRhtFtpDBz0kwSGIFuwZotnTbGEz-gZRF07WCWpy_ozMoipul7XgiYZMNmMR_51M7PkvFT3yPNG5dZ7_-Y3flh0Ymy42jOJszt1z0SnYOuLHg1ct1MRwAYH-q4rSO-Isng6mn1qRUswFSrqW5lks4MPyGdjOjLPA%253D%253D_ark196e4ee6d117a95cfe%2522%252C%2522slot%2522%253A1%252C%2522signal%2522%253A%2522Belleza--higiene-y-salud%2522%257D%257D,"https://media.falabella.com.co/falabellaCO/136855372_01/width=240,height=240,quality=70,format=webp,fit=pad",Aceite divino Immortelle Divina 30ml,Por Provenzal Sas ,565.0,0%,,565.0,Envío gratis,SIN INFORMACIÓN,SIN OPINIONES
YONKA,https://www.falabella.com.co/falabella-co/product/131867683/Gel-Nettoyant/131867684?sponsoredClickData=%257B%2522isXLP%2522%253Atrue%252C%2522pageType%2522%253A%2522category%2522%252C%2522adType%2522%253A%2522products%2522%252C%2522platform%2522%253A%2522desktop%2522%252C%2522regionCode%2522%253A%2522co%2522%252C%2522context%2522%253A%257B%2522userIdentifier%2522%253A%2522MTc0NzU5NzAxOTMxNw%253D%253D%2522%252C%2522adIdentifier%2522%253A%2522v2_fdntKCsJ2w2_i3eTXC90ZWJqKY3VlAQw0EBr1ZBCAfw_zQHH8xxra1tRhtFtpDBz0kwSGIFuwZotnTbGEz-gZVart11GSfMumkKOhjng89l5VP3tmHiYeg7Ns6hBlBlBBVJ_oCOsiQugCa-i1nEiWMzt1z0SnYOuLHg1ct1MRwAYH-q4rSO-Isng6mn1qRUswFSrqW5lks4MPyGdjOjLPA%253D%253D_ark196e4ee6d117a95cfe%2522%252C%2522slot%2522%253A2%252C%2522signal%2522%253A%2522Belleza--higiene-y-salud%2522%257D%257D,"https://media.falabella.com.co/falabellaCO/131867684_01/width=240,height=240,quality=70,format=webp,fit=pad",Gel Nettoyant,Por Tecnovital Group Sas ,164.85,0%,,164.85,Envío gratis,SIN INFORMACIÓN,SIN OPINIONES
LA FORET,https://www.falabella.com.co/falabella-co/product/72832295/Rubor-Compacto-Nsoc27393-23Co-La-Foret-9-Gr/72832295,"https://media.falabella.com.co/falabellaCO/72832295_1/width=240,height=240,quality=70,format=webp,fit=pad",Rubor Compacto Nsoc27393-23Co 9 Gr,Por Falabella,230.0,0%,,230.0,SIN INFORMACIÓN,SIN INFORMACIÓN,SIN OPINIONES
LA FORET,https://www.falabella.com.co/falabella-co/product/72832294/Rubor-Compacto-Nsoc27393-23Co-La-Foret-9-Gr/72832294,"https://media.falabella.com.co/falabellaCO/72832294_1/width=240,height=240,quality=70,format=webp,fit=pad",Rubor Compacto Nsoc27393-23Co 9 Gr,Por Falabella,230.0,0%,,230.0,SIN INFORMACIÓN,SIN INFORMACIÓN,SIN OPINIONES
4711,https://www.falabella.com.co/falabella-co/product/72829215/Perfume-Unisex-4711-Floral-C-Rose-EDC-100ML/72829215,"https://media.falabella.com.co/falabellaCO/72829215_001/width=240,height=240,quality=70,format=webp,fit=pad",Perfume Unisex Floral C Rose EDC 100ML,Por Falabella,129.9,0%,,129.9,SIN INFORMACIÓN,SIN INFORMACIÓN,SIN OPINIONES
4711,https://www.falabella.com.co/falabella-co/product/72829078/Perfume-Mujer-4711-FLORAL-LILY-OF-THE-VALLEY-100ML-EDC/72829078,"https://media.falabella.com.co/falabellaCO/72829078_001/width=240,height=240,quality=70,format=webp,fit=pad",Perfume Mujer FLORAL LILY OF THE VALLEY 100ML EDC,Por Falabella,129.9,0%,,129.9,SIN INFORMACIÓN,SIN INFORMACIÓN,SIN OPINIONES
KATIVA,https://www.falabella.com.co/falabella-co/product/130382684/Shampoo-Coconut-355ml/130382685?sponsoredClickData=%257B%2522isXLP%2522%253Atrue%252C%2522pageType%2522%253A%2522category%2522%252C%2522adType%2522%253A%2522products%2522%252C%2522platform%2522%253A%2522desktop%2522%252C%2522regionCode%2522%253A%2522co%2522%252C%2522context%2522%253A%257B%2522userIdentifier%2522%253A%2522MTc0NzU5NzAxOTMxNw%253D%253D%2522%252C%2522adIdentifier%2522%253A%2522v2_hj3AmS2xCnCKMxaUYeGD0XPRzOliEHci-BlShz29JzQ_zQHH8xxra1tRhtFtpDBz0kwSGIFuwZotnTbGEz-gZbPoT5j6okJxCMaT_RAWn2y91aIVH_W20o5WPkEB1YOfVBwDElp6_5owVQ7jpL8Ks2c2ptH9QA4LwSnGIOSjfD6fCAdxzqWW_YmxH_SXFZlzwFSrqW5lks4MPyGdjOjLPA%253D%253D_ark196e4ee6d117a95cfe%2522%252C%2522slot%2522%253A7%252C%2522signal%2522%253A%2522Belleza--higiene-y-salud%2522%257D%257D,"https://media.falabella.com.co/falabellaCO/130382685_01/width=240,height=240,quality=70,format=webp,fit=pad",Shampoo Coconut 355ml,Por Starbrands Colombia S.a.s ,33.4,0%,,33.4,SIN INFORMACIÓN,SIN INFORMACIÓN,SIN OPINIONES
KATIVA,https://www.falabella.com.co/falabella-co/product/130082483/Shampoo-Keratina-355ml/130082484?sponsoredClickData=%257B%2522isXLP%2522%253Atrue%252C%2522pageType%2522%253A%2522category%2522%252C%2522adType%2522%253A%2522products%2522%252C%2522platform%2522%253A%2522desktop%2522%252C%2522regionCode%2522%253A%2522co%2522%252C%2522context%2522%253A%257B%2522userIdentifier%2522%253A%2522MTc0NzU5NzAxOTMxNw%253D%253D%2522%252C%2522adIdentifier%2522%253A%2522v2_PDndCupGY7NzceGzaU4a4HPRzOliEHci-BlShz29JzQ_zQHH8xxra1tRhtFtpDBz0kwSGIFuwZotnTbGEz-gZbPoT5j6okJxCMaT_RAWn2y91aIVH_W20o5WPkEB1YOfCCKXA6iGCzxgc-ki66ZSMmc2ptH9QA4LwSnGIOSjfD6fCAdxzqWW_YmxH_SXFZlzwFSrqW5lks4MPyGdjOjLPA%253D%253D_ark196e4ee6d117a95cfe%2522%252C%2522slot%2522%253A8%252C%2522signal%2522%253A%2522Belleza--higiene-y-salud%2522%257D%257D,"https://media.falabella.com.co/falabellaCO/130082484_01/width=240,height=240,quality=70,format=webp,fit=pad",Shampoo Keratina 355ml,Por Starbrands Colombia S.a.s ,33.4,0%,,33.4,SIN INFORMACIÓN,SIN INFORMACIÓN,SIN OPINIONES
GENERICO,https://www.falabella.com.co/falabella-co/product/131999508/Corrector-de-Ojeras-Ani-K-Tono-00/131999509,SIN IMAGEN,Corrector de Ojeras Ani-K - Tono 00,Por Dermicare Tienda Dermatologica ,23.0,0%,,23.0,SIN INFORMACIÓN,SIN INFORMACIÓN,SIN OPINIONES
DKNY,https://www.falabella.com.co/falabella-co/product/72831851/Perfume-Mujer-DKNY-Be-Delicious-50-ml-EDP/72831851,SIN IMAGEN,Perfume Mujer Be Delicious 50 ml EDP,Por Falabella,289.9,0%,,289.9,SIN INFORMACIÓN,SIN INFORMACIÓN,SIN OPINIONES
GENERICO,https://www.falabella.com.co/falabella-co/product/141478752/Cosmetiquera-Grande-Espejo-Luz-Recargable-Bolsa-Maquillaje-11-Espacios/141478753,SIN IMAGEN,Cosmetiquera Grande Espejo Luz Recargable Bolsa Maquillaje 11 Espacios,Por Diversus,130.0,0%,,130.0,SIN INFORMACIÓN,SIN INFORMACIÓN,SIN OPINIONES
GENERICO,https://www.falabella.com.co/falabella-co/product/139829520/Masajeador-Pies-Circulacion-Electroestimulador-3d/139829522,SIN IMAGEN,Masajeador Pies Circulación Electroestimulador 3d,Por Variedades Sofiastore 2 ,74.9,-75%,299.0,74.9,SIN INFORMACIÓN,SIN INFORMACIÓN,SIN OPINIONES
VITANAS,https://www.falabella.com.co/falabella-co/product/131695182/Creatina-monohidratada-3000mg-50-servicios-vitanas/131695183,SIN IMAGEN,Creatina monohidratada 3000mg 50 servicios,Por Natural Store ,65.9,3%,68.0,65.9,SIN INFORMACIÓN,SIN INFORMACIÓN,SIN OPINIONES
